id,garden_name,full_garden_name,qr_url,@qrcode_filename
00105,Circular Friendships,The Garden of Circular Friendships,HTTPS://DECENTRALIZEDWEB.NET/QR/2018.HTML?BADGE=00105,Macintosh HD:Users:provolot:github:seeding-gardens:badge:qrcodes:badges:00105.png
00106,Adaptive Delights,The Garden of Adaptive Delights,HTTPS://DECENTRALIZEDWEB.NET/QR/2018.HTML?BADGE=00106,Macintosh HD:Users:provolot:github:seeding-gardens:badge:qrcodes:badges:00106.png
00107,Complex Exchange,The Garden of Complex Exchange,HTTPS://DECENTRALIZEDWEB.NET/QR/2018.HTML?BADGE=00107,Macintosh HD:Users:provolot:github:seeding-gardens:badge:qrcodes:badges:00107.png
00108,Windy Contemplation,The Garden of Windy Contemplation,HTTPS://DECENTRALIZEDWEB.NET/QR/2018.HTML?BADGE=00108,Macintosh HD:Users:provolot:github:seeding-gardens:badge:qrcodes:badges:00108.png
00109,Rhizomatic Play,The Garden of Rhizomatic Play,HTTPS://DECENTRALIZEDWEB.NET/QR/2018.HTML?BADGE=00109,Macintosh HD:Users:provolot:github:seeding-gardens:badge:qrcodes:badges:00109.png
00110,Earthly Utopia,The Garden of Earthly Utopia,HTTPS://DECENTRALIZEDWEB.NET/QR/2018.HTML?BADGE=00110,Macintosh HD:Users:provolot:github:seeding-gardens:badge:qrcodes:badges:00110.png
00111,Sleeping Balance,The Garden of Sleeping Balance,HTTPS://DECENTRALIZEDWEB.NET/QR/2018.HTML?BADGE=00111,Macintosh HD:Users:provolot:github:seeding-gardens:badge:qrcodes:badges:00111.png
00112,Calm Soil,The Garden of Calm Soil,HTTPS://DECENTRALIZEDWEB.NET/QR/2018.HTML?BADGE=00112,Macintosh HD:Users:provolot:github:seeding-gardens:badge:qrcodes:badges:00112.png
00113,Gentle Storms,The Garden of Gentle Storms,HTTPS://DECENTRALIZEDWEB.NET/QR/2018.HTML?BADGE=00113,Macintosh HD:Users:provolot:github:seeding-gardens:badge:qrcodes:badges:00113.png
00114,Spindly Societies,The Garden of Spindly Societies,HTTPS://DECENTRALIZEDWEB.NET/QR/2018.HTML?BADGE=00114,Macintosh HD:Users:provolot:github:seeding-gardens:badge:qrcodes:badges:00114.png
00115,Sprightly Computation,The Garden of Sprightly Computation,HTTPS://DECENTRALIZEDWEB.NET/QR/2018.HTML?BADGE=00115,Macintosh HD:Users:provolot:github:seeding-gardens:badge:qrcodes:badges:00115.png
00116,Blubbly Biologies,The Garden of Blubbly Biologies,HTTPS://DECENTRALIZEDWEB.NET/QR/2018.HTML?BADGE=00116,Macintosh HD:Users:provolot:github:seeding-gardens:badge:qrcodes:badges:00116.png
00117,Soft Networks,The Garden of Soft Networks,HTTPS://DECENTRALIZEDWEB.NET/QR/2018.HTML?BADGE=00117,Macintosh HD:Users:provolot:github:seeding-gardens:badge:qrcodes:badges:00117.png
00118,Slow Systems,The Garden of Slow Systems,HTTPS://DECENTRALIZEDWEB.NET/QR/2018.HTML?BADGE=00118,Macintosh HD:Users:provolot:github:seeding-gardens:badge:qrcodes:badges:00118.png
00119,Free Structures,The Garden of Free Structures,HTTPS://DECENTRALIZEDWEB.NET/QR/2018.HTML?BADGE=00119,Macintosh HD:Users:provolot:github:seeding-gardens:badge:qrcodes:badges:00119.png
00120,Harmonious Theories,The Garden of Harmonious Theories,HTTPS://DECENTRALIZEDWEB.NET/QR/2018.HTML?BADGE=00120,Macintosh HD:Users:provolot:github:seeding-gardens:badge:qrcodes:badges:00120.png
00121,Chaotic Languages,The Garden of Chaotic Languages,HTTPS://DECENTRALIZEDWEB.NET/QR/2018.HTML?BADGE=00121,Macintosh HD:Users:provolot:github:seeding-gardens:badge:qrcodes:badges:00121.png
00122,Turbulent Loops,The Garden of Turbulent Loops,HTTPS://DECENTRALIZEDWEB.NET/QR/2018.HTML?BADGE=00122,Macintosh HD:Users:provolot:github:seeding-gardens:badge:qrcodes:badges:00122.png
00123,Punctuated Seeds,The Garden of Punctuated Seeds,HTTPS://DECENTRALIZEDWEB.NET/QR/2018.HTML?BADGE=00123,Macintosh HD:Users:provolot:github:seeding-gardens:badge:qrcodes:badges:00123.png
00124,Caring Pistil,The Garden of Caring Pistil,HTTPS://DECENTRALIZEDWEB.NET/QR/2018.HTML?BADGE=00124,Macintosh HD:Users:provolot:github:seeding-gardens:badge:qrcodes:badges:00124.png
00125,Organized Stamen,The Garden of Organized Stamen,HTTPS://DECENTRALIZEDWEB.NET/QR/2018.HTML?BADGE=00125,Macintosh HD:Users:provolot:github:seeding-gardens:badge:qrcodes:badges:00125.png
00126,Evolving Friendships,The Garden of Evolving Friendships,HTTPS://DECENTRALIZEDWEB.NET/QR/2018.HTML?BADGE=00126,Macintosh HD:Users:provolot:github:seeding-gardens:badge:qrcodes:badges:00126.png
00127,Circular Delights,The Garden of Circular Delights,HTTPS://DECENTRALIZEDWEB.NET/QR/2018.HTML?BADGE=00127,Macintosh HD:Users:provolot:github:seeding-gardens:badge:qrcodes:badges:00127.png
